"死者","死者","sǐ zhě",,,,"the dead
the deceased","die Toten (u.E.)
Todesopfer (u.E.) (S","défunt",
"編劇","编剧","biān jù",,,,"to write a play
scenario
dramatist
screenwriter",,"scénariste",
"肥膩","肥腻","féi nì",,,,"(of foods) fatty
greasy",,,
"兵餉","兵饷","bīng xiǎng",,,,"pay and provisions for soldiers",,,
"曾鞏","曾巩","zēng gǒng",,,,"Zeng Gong (1019-1083), Song dynasty writer, one of the Eight Giants 唐宋八大家","Zeng Gong (u.E.) (Eig, Pers, 1019 - 1083","Zeng Gong",
"蔡鍔","蔡锷","cài è",,,,"Cai E (1882-1916), originator of the National protection army of 1915",,,
"暡曚","暡曚","wěng méng",,,,"twilight before dawn",,,
"宇文","宇文","yǔ wén",,,,"a branch of the Xianbei 鮮卑|鲜卑[Xiān bēi] nomadic people
two-character surname Yuwen","Yuwen (u.E.) (Eig, Fam",,
"伄儅","伄儅","diào dāng",,,,"seldom
irregularly",,,
"能力","能力","néng lì",,"個|个[ge4]",,"capability
capable
able
ability","Leistung, Fähigkeit, Kapazität, Vermögen, Können, Kompetenz (u.E.) (S","capacité
faculté",
"加冠","加冠","jiā guān",,,,"(in former times) coming-of-age ceremony at 20 years",,,
"篤學","笃学","dǔ xué",,,,"studious
diligent in study",,"studieux
travailleur
diligent",
"通路","通路","tōng lù",,,,"access","Durchgang (u.E.) (S)
Durchlauf (u.E.) (S)
Einsicht, Einstieg (u.E.) (S)
Zutritt (u.E.) (S","accès",
"村寨","村寨","cūn zhài",,,,"(stockaded) village",,,
"從容","从容","cōng róng",,,,,"in Ruhe, gelassen (u.E.) (V",,
"先祖","先祖","xiān zǔ",,,,"deceased grandfather
ancestry","Abstammung (u.E.) (S","ancêtre",
"中標","中标","zhòng biāo",,,,"to win a tender
successful bidder","ein Angebot gewinnen (u.E.) (V, Wirtsch)
eine Ausschreibung  gewinnen (u.E.) (V, Wirtsch","remporter un appel d'offres
soumissionnaire retenu",
"攔阻","拦阻","lán zǔ",,,,"to block
to obstruct","Entmutigung (u.E.) (S","empêcher
obstruer
arrêter",
"趿拉","趿拉","tā la",,,,"to shuffle along (while walking)
to be deliberately slow (in doing sth)
slippers",,"traîner ses chaussures",
"打拱","打拱","dǎ gǒng",,,,"to bow with clasped hands",,"se courber (avec les mains jointes pour saluer)",
"私家","私家","sī jiā",,,,"private
privately owned or managed","Privatbesitz (u.E.) (S)
privat, privatrechtlich (u.E.) (Adj, Rechtsw","privé",
"垮客","垮客","kuǎ kè",,,,,,"pirate",
"弧面","弧面","hú miàn",,,,,"Halbschale (u.E.",,
"禽龍","禽龙","qín lóng",,,,"iguanodon","Iguanodon (u.E.","iguanodon",
"鑽心","钻心","zuān xīn",,,,"to sneak in
to infiltrate
to be piercingly painful
to be unbearable (of pain, itch etc)",,,
"自決","自决","zì jué",,,,,"Selbstbestimmung (S",,
"打屁","打屁","dǎ pì",,,,"to chat idly",,"discuter les bras croisés",
"花痴","花痴","huā chī",,,,"(coll.) starry-eyed infatuation","Nymphomanin (u.E.) (S","amour obsessionnel (argot)",
"暫定","暂定","zàn dìng",,,,"temporary arrangement
provisional
tentative","kommissarisch (u.E.) (Adj","arrangement temporaire
provisoire",
"磯鷸","矶鹬","jī yù",,,,,"Flussuferläufer (u.E.) (S","Chevalier guignette",
"順路","顺路","shùn lù",,,,"by the way
while out doing sth else
conveniently","auf dem Weg (u.E.","au passage
sur sa route
route directe",
"傑西","杰西","jié xī",,,,"Jesse (name)",,"Jesse",
"甲午","甲午","jiǎ wǔ",,,,"thirty-first year A7 of the 60 year cycle, e.g. 1954 or 2014","31. Jahr im 60er-Zyklus (u.E.) (S",,
"搭拉","搭拉","dā la",,,,"variant of 耷拉[dā la]",,,
"羞辱","羞辱","xīu rǔ",,,,"to baffle
to humiliate
shame
dishonor
humiliation",,"affront
humiliation
humilier
insulter
bafouer
mortifier",
"鷺鶴","鹭鹤","lù hè",,,,,"Kagu (Rhynochetos jubatus) (u.E.) (S","Kagou huppé",
"關廠","关厂","guān chǎng",,,,"to shut down (a factory)
to close a facility
a lock-out",,"fermer une usine",
"隆胸","隆胸","lóng xīong",,,,"to enlarge the breasts
breast enlargement","Brustvergrößerung (u.E.) (S","Implant mammaire",
"咖哩","咖哩","kā li",,,,"curry (loanword)",,"Curry",
"达文","达文","dá wén",,,,,,"Davin",
"商酌","商酌","shāng zhuó",,,,"to deliberate",,"délibérer
consulter
discuter",
"金粉","金粉","jīn fěn",,,,,"Bronzepulver (u.E.) (S",,
"腋芽","腋芽","yè yá",,,,"axillary bud
bud growing from axil of plant",,,
"龍舟","龙舟","lóng zhōu",,,,"dragon boat
imperial boat","Drachenboot (S, Sport","bateau-dragon
bateau-dragon (pirogue)",
