"檔","档","dàng","dǎng",,,"official records
grade (of goods)
file
records
shelves
cross-piece
classifier for cross-pieces",,"dossier
archives
barreau
traverse
classe
qualité",
"餤","餤","tán",,,,"to advance","fördern, befördern (u.E.",,
"鐇","鐇","fán",,,,"vanadium","Vanadium (u.E.) (S",,
"爌","爌","huǎng",,,,"old variant of 晃[huǎng]
bright",,,
"嚄","嚄","huò",,,,"stunned and speechless",,"oh!
(Stupéfait et sans voix)",
"〦","〦","lìu",,,,"numeral 6 in Suzhou numeral system 蘇州碼子|苏州码子[Sū zhōu mǎ zi]",,,
"低","低","dī",,,,"low
beneath
to lower (one's head)
to let droop
to hang down
to incline","senken, sinken lassen, hängen lassen (u.E.) (V)
niedrig, tief (u.E.) (Adv","bas
peu élevé
inférieur
baisser
pencher",
"源","源","yuán",,,,"root
source
origin","Quelle, Ursprung eines Flusses (u.E.) (S, Geol)
Ursprung, Ursache, Grund, Quelle (u.E.) (S)
Yuan (u.E.) (Eig, Fam)
Ursprung (u.E.","source",
"茯","茯","fú",,,,"Pachyma cocos
china root",,"champignon pachyma cocos
truffe chinoise",
"渠","渠","qú",,,,"surname Qu
big
stream or canal
drain
ditch
him (dialect)
outer rim of a carriage wheel (old)",,"canal",
"疢","疢","chèn",,,,"(disease)",,"fièvre
maladie",
"芩","芩","qín",,,,"Phragmites japonica",,,
"遏","遏","è",,,,"to restrain
to check
to hold back",,"contenir
empêcher",
"嵂","嵂","lǜ",,,,"to rise sharply
to tower","emporragen, hochragen (u.E.","augmenter fortement",
"胎","胎","tāi",,,,"fetus
litter
tire
abbr. of 輪胎|轮胎","Fötus, Embryo (u.E.) (S, Med)
Geburt, Niederkunft (u.E.) (S, Med)
Polster, Füllung, Futter (u.E.) (S, Tech)
(Luft-) Reifen, Gummischlauch, Radmantel, Reifen (u.E.) (S, Tech)
ungebranntes Werkstück (u.E.) (S, Tech","foetus
embryon
pneu",
"軋","轧","zhá",,,,"to roll (steel)",,"écraser",
"殢","殢","tì",,,,"fatigue","ermüden, Ermattung (u.E.) (S",,
"怱","匆","cōng",,,,"variant of 匆[cōng]",,,
"綗","綗","jǐong",,,,"variant of 絅|䌹[jǐong]",,,
"役","役","yì",,,,"forced labor
corvée
obligatory task
military service
to use as servant
to enserf
servant (old)
war
campaign
battle","Bedienung (u.E.) (S)
Dienstleistung (u.E.) (S","service
bataille",
"濟","济","jì",,,,"to cross a river
to aid or relieve
to be of help","übersetzen, einen Fluß überqueren (u.E.) (V)
helfen, unterstützen (u.E.) (V)
hilfreich, nützlich, von Nutzem (u.E.) (Adj)
bedürfnislos, einfach (u.E.)
Ji (u.E.) (Eig, Fam","traverser un cours d'eau
aider
secourir",
"五","五","wǔ",,,,"five
5","fünf (5) (Num","cinq
5",
"折","折","zhē",,,,"to turn sth over
to turn upside down
to tip sth out (of a container)",,,
"愧","愧","kuì",,,,"ashamed","beschämt (u.E.) (Adj","honteux
confus",
"磠","磠","lǔ",,,,"ammonium","Ammonium (u.E.) (Chem",,
"鰥","鳏","guān",,,,"widower","Witwer (u.E.) (S","célibataire
seul",
"戞","戛","jiá",,,,"variant of 戛[jiá]",,"lance",
"肪","肪","fáng",,,,"animal fat",,"graisse",
"歐","欧","ōu",,,,"Europe
abbr. for 歐洲|欧洲[Oū zhōu]
surname Ou
(used for transliteration)
old variant of 謳|讴[ōu]","Abkürzung für Europa (u.E.","abréviation d'Europe
euro-
(utilisé pour les transcriptions phonétiques)",
"𣇩","𣇩","yà",,,,,"Ya (u.E.) (Eig, Fam",,
"䳗","䳗","é",,,,"variant of 鵝|鹅[é]",,,
"準","准","zhǔn",,,,"horizontal (old)
accurate
standard
definitely
certainly
about to become (bride, son-in-law etc)
quasi-
para-","j-m etw. erlauben, j-m etw. gestatten (u.E.) (V); Bsp.: 不准入內 不准入内 -- Zutritt nicht gestattet
genau, exakt (u.E.","exact
précis
sûrement
certainement
autoriser
permettre
critère
standard",
"産","産","chǎn",,,,"Japanese variant of 產|产",,,
"乞","乞","qǐ",,,,"to beg","bitten, betteln, etwas erbitten (u.E.)
Qi (u.E.) (Eig, Fam","mendier",
"猞","猞","shē",,,,"see 猞猁[shē lì]","Luchs, Wildkatze (u.E.) (S, Bio",,
