"高爾察克","高尔察克","gāo ěr chá kè",,,,"Aleksandr Kolchak","Alexander Wassiljewitsch Koltschak (u.E.) (Eig, Pers, 1874 - 1920","Alexandre Vassilievitch Koltchak",
"短篇小說","短篇小说","duǎn piān xiǎo shuō",,,,"narrative
short story","Kurzgeschichte, Erzählung (u.E.) (S","nouvelle
conte",
"舞蹈指導","舞蹈指导","wǔ dào zhǐ dǎo",,,,,"Choreograph (u.E.) (S",,
"連哄帶騙","连哄带骗","lián hōng dài piàn",,,,"to cajole
to sweet talk sb into doing sth",,"cajoler",
"國際海里","国际海里","guó jì hǎi lǐ",,,,,,"mille marin international
mille marin",
"六千零六","六千零六","lìu qiān líng lìu",,,,,"6006 (sechstausendsechs) (u.E.",,
"音樂遊戲","音乐游戏","yīn yuè yóu xì",,,,,"Musikspiel (u.E.) (Mus","Jeu de rythme",
"視為相同","视为相同","shì wéi xiāng tóng",,,,,"Identifikation (u.E.) (S",,
"以弗所書","以弗所书","yǐ fú suǒ shū",,,,"Epistle of St Paul to the Ephesians","Brief des Paulus an die Epheser (u.E.","Épître aux Éphésiens",
"令人瞠目","令人瞠目","lìng rén chēng mù",,,,,"die Sprache verschlagen (u.E.) (V",,
"毫無必要","毫无必要","háo wú bì yào",,,,,"absolut unnötig, keinesfalls notwendig (u.E.) (Adj",,
"幾何拓撲","几何拓扑","jǐ hé tuò pū",,,,"(math.) geometric topology",,"topologie géométrique",
"乘坐公交","乘坐公交","chéng zuò gōng jiāo",,,,,"Benutzung öffentlicher Verkehrsmittel (u.E.",,
"净捐助国","净捐助国","jìng juān zhù guó",,,,,,"pays contributeur net",
"白背磯鶇","白背矶鸫","bái bèi jī dōng",,,,,,"Monticole merle-de-roche",
"南瓶鼻鯨","南瓶鼻鲸","nán píng bí jīng",,,,,"Nördlicher Entenwal (u.E.",,
"约个时间","約個時間","yuē gè shí jiān",,,,,,"prendre rendez-vous",
"食品公司","食品公司","shí pǐn gōng sī",,,,,"Lebensmittelfirma (S, Wirtsch",,
"米蘭遺址","米兰遗址","mǐ lán yí zhǐ",,,,,,"Miran",
"遮遮掩掩","遮遮掩掩","zhē zhē yǎn yǎn",,,,"to be secretive; to try to cover up (idiom)",,,
"海外華僑","海外华侨","hǎi wài huá qiáo",,,,,"Überseechinesen (u.E.) (S",,
"印後加工","印后加工","yìn hòu jiā gōng",,,,,"Druckweiterverarbeitung, buchbinderische Verarbeitung (u.E.) (S",,
"白尾雷鳥","白尾雷鸟","bái yǐ léi niǎo",,,,,,"Lagopède à queue blanche",
"軟性毒品","软性毒品","ruǎn xìng dú pǐn",,,,,,"drogues douces
drogues légères
drogues mineures",
"政府部委","政府部委","zhèng fǔ bù wěi",,,,,"Ministerien (u.E.",,
"基德蘭德","基德兰德","jī dé lán dé",,,,,"Finn E. Kydland (u.E.) (Wirtsch","Finn E. Kydland",
"蔚然成風","蔚然成风","wèi rán chéng fēng",,,,"to have become common practice (idiom)
to become a general trend","allgemein Verbreitung finden (u.E.) (S","devenir une habitude qui se répand dans tout le pays
devenir une pratique courante",
"小波蘭省","小波兰省","xiǎo bō lán shěng",,,,,"Woiwodschaft Kleinpolen (u.E.","Voïvodie de Petite-Pologne",
"咨詢服務","咨询服务","zī xún fú wù",,,,,"Beratung (u.E.) (S","services d'appui socio-psychologique
services de conseils
services d'orientation
permanence d'entraide sociale",
"肄業證書","肄业证书","yì yè zhèng shū",,,,"certificate of partial completion
certificate of attendance (for a student who did not graduate)",,,
"資本籌措","资本筹措","zī běn chóu cuò",,,,,"Kapitalbeschaffung (u.E.) (S",,
"拜一神教","拜一神教","bài yī shén jiào",,,,,"Monolatrie (u.E.) (S",,
"仲裁機構","仲裁机构","zhòng cái jī gòu",,,,,"Schiedsinstanz (u.E.) (S",,
"額定負載","额定负载","é dìng fù zài",,,,,"vorgeschriebene Belastung (u.E.",,
"榘陣測光","矩阵测光","jǔ zhèn cè guāng",,,,,"Mehrfeldmessung (u.E.) (S",,
"小美人魚","小美人鱼","xiǎo měi rén yú",,,,,"Arielle, die Meerjungfrau (u.E.","La Petite Sirène",
"商丘地區","商丘地区","shāng qīu dì qū",,,,"Shangqiu prefecture in Henan","Shangqiu (Bezirk in Henan) (u.E.) (Eig, Geo","préfecture de Shangqiu",
"烏德勒支","乌德勒支","wū dé lēi zhī",,,,,"FC Utrecht (u.E.",,
"奧剋託今","奥克托今","ào kè tuō jīn",,,,,,"HMX",
"笨口拙舌","笨口拙舌","bèn kǒu zhuō shé",,,,"awkward in speech",,"mal à l'aise à l'oral",
"企業管理","企业管理","qǐ yè guǎn lǐ",,,,"business management (as a study)",,"gestion d'une entreprise
gérance d'une entreprise",
"热交换器","热交换器","rè jiāo huàn qì",,,,,,"échangeur de chaleur
échangeur thermique",
"經驗數據","经验数据","jīng yàn shù jù",,,,,"Erfahrungswert (u.E.) (S",,
"學園奇諾","学园奇诺","xué yuán qí nuò",,,,,,"Gakuen",
"世界強國","世界强国","shì jiè qiáng guó",,,,"world power","Weltmacht (u.E.) (S","puissance mondiale",
"凱達格蘭","凯达格兰","kǎi dá gé lán",,,,"Ketagalan, one of the indigenous peoples of Taiwan, esp. northeast corner",,"Ketagalan",
"加網輸出","加网输出","jiā wǎng shū chū",,,,,"gerasterte Ausgabe (Belichter) (u.E.) (V, EDV",,
"營養狀況","营养状况","yíng yǎng zhuàng kuàng",,,,,"Ernährungszustand (u.E.) (S","état nutritionnel",
"手機禁用","手机禁用","shǒu jī jìn yòng",,,,,"Handy-Verbot (u.E.",,
"高檔次的","高档次的","gāo dàng cì de",,,,,"anspruchsvoll (u.E.) (Adj",,
"非恒定流","非恒定流","fēi héng dìng líu",,,,,,"écoulement variable
régime variable",
"伊達政宗","伊达政宗","yī dá zhèng zōng",,,,,"Date Masamune (u.E.) (Eig, Pers, 1567 - 1636","Masamune Date",
"中秋佳節","中秋佳节","zhōng qīu jiā jié",,,,,"Herbstmondfest (u.E.",,
"艾弥利奥","艾弥利奥","ài mí lì ào",,,,,,"Emilio",
"岡倉天心","冈仓天心","gāng cāng tiān xīn",,,,,,"Okakura Kakuzo",
"液壓軸承","液压轴承","yè yā zhóu chéng",,,,,"Flüssigkeitslager (u.E.) (S, Tech",,
"彿教宗派","佛教宗派","fó jiào zōng pài",,,,,,"École du bouddhisme",
"全體師生","全体师生","quán tǐ shī shēng",,,,,"Schule (u.E.) (S",,
"組裝工作","组装工作","zǔ zhuāng gōng zuò",,,,,"Montagearbeit (u.E.) (S",,
"日本經濟","日本经济","rì běn jīng jì",,,,,"Wirtschaft Japans (u.E.) (Wirtsch","économie du Japon",
